Questions,Query,Predicted,CorrectlyPredicted,TablesPredicted Correctly,Similarity,Columns predicted Correctly,Effectiveness
FIND THE NAME AND ID OF ACCOUNTS WHOSE CHECKING BALANCE IS BELOW THE MAXIMUM CHECKING BALANCE,"SELECT T1.CUSTID ,  T1.NAME FROM ACCOUNTS AS T1 JOIN CHECKING AS T2 ON T1.CUSTID  =  T2.CUSTID WHERE T2.BALANCE  <  (SELECT MAX(BALANCE) FROM CHECKING)","SELECT T1.CUSTID ,  T1.NAME FROM ACCOUNTS AS T1 JOIN CHECKING AS T2 ON T1.CUSTID  =  T2.CUSTID WHERE T2.BALANCE  <  (SELECT MAX(BALANCE) FROM CHECKING)","SELECT T1.CUSTID ,  T1.NAME FROM ACCOUNTS AS T1 JOIN CHECKING AS T2 ON T1.CUSTID  =  T2.CUSTID WHERE T2.BALANCE  <  (SELECT MAX(BALANCE) FROM CHECKING)",2,1,1,Excellent
WHAT INSTRUMENTS DOES THE THE SONG LE POP USE,"SELECT INSTRUMENT FROM INSTRUMENTS AS T1 JOIN SONGS AS T2 ON T1.SONGID  =  T2.SONGID WHERE TITLE  =  ""LE POP""","SELECT INSTRUMENT FROM INSTRUMENTS AS T1 JOIN SONGS AS T2 ON T1.SONGID  =  T2.SONGID WHERE TITLE  =  ""LE POP""","SELECT INSTRUMENT FROM INSTRUMENTS AS T1 JOIN SONGS AS T2 ON T1.SONGID  =  T2.SONGID WHERE TITLE  =  ""LE POP""",2,1,1,Excellent
HOW MANY HOME GAMES DID THE TEAM BOSTON RED STOCKINGS PLAY FROM 1990 TO 2000 IN TOTAL,SELECT SUM(T1.GAMES) FROM HOME_GAME AS T1 JOIN TEAM AS T2 ON T1.TEAM_ID = T2.TEAM_ID_BR WHERE T2.NAME = 'BOSTON RED STOCKINGS' AND T1.YEAR BETWEEN 1990 AND 2000;,SELECT COUNT(*) FROM SALARY AS T1 JOIN TEAM AS T2 ON T1.TEAM_ID  =  T2.TEAM_ID_BR WHERE T2.NAME  = 'BOSTON RED STOCKINGS' AND T1.YEAR  =  2000,,1,0.83152184,0.8,Excellent
WHAT ARE THE NAMES OF CANDIDATES WHO HAVE A LOWER SUPPORT RATE THAN OPPOSE RATE,SELECT T1.NAME FROM PEOPLE AS T1 JOIN CANDIDATE AS T2 ON T1.PEOPLE_ID  =  T2.PEOPLE_ID WHERE T2.SUPPORT_RATE  <  T2.OPPOSE_RATE,"SELECT DISTINCT T1.NAME FROM APPELLATIONS AS T1 JOIN WINE AS T2 ON T1.APPELATION  =  T2.APPELATION WHERE T1.AREA  =  ""NORTH COAST""",,0,0.54232614,0.2,Good
FIND THE NAME OF ACCOUNTS WHOSE CHECKING BALANCE IS BELOW THE AVERAGE CHECKING BALANCE,SELECT T1.NAME FROM ACCOUNTS AS T1 JOIN CHECKING AS T2 ON T1.CUSTID  =  T2.CUSTID WHERE T2.BALANCE  <  (SELECT AVG(BALANCE) FROM CHECKING),SELECT T1.NAME FROM ACCOUNTS AS T1 JOIN CHECKING AS T2 ON T1.CUSTID  =  T2.CUSTID WHERE T2.BALANCE  <  (SELECT AVG(BALANCE) FROM CHECKING),SELECT T1.NAME FROM ACCOUNTS AS T1 JOIN CHECKING AS T2 ON T1.CUSTID  =  T2.CUSTID WHERE T2.BALANCE  <  (SELECT AVG(BALANCE) FROM CHECKING),2,1,1,Excellent
WHAT IS THE SEASON OF THE GAME WHICH CAUSES THE PLAYER 'WALTER SAMUEL' TO GET INJURED,SELECT T1.SEASON FROM GAME AS T1 JOIN INJURY_ACCIDENT AS T2 ON T1.ID  =  T2.GAME_ID WHERE T2.PLAYER  =  'WALTER SAMUEL',"SELECT COUNT(*) FROM ALBUMS AS T1 JOIN ARTISTS AS T2 ON T1.ARTIST_ID  =  T2.ARTIST_ID WHERE T1.FIRSTNAME  =  ""ACCT-211'",,0,0.5143445,0,Good
HOW MANY STUDENTS ARE AFFECTED BY FOOD RELATED ALLERGIES,"SELECT COUNT(*) FROM HAS_ALLERGY AS T1 JOIN ALLERGY_TYPE AS T2 ON T1.ALLERGY  =  T2.ALLERGY WHERE T2.ALLERGYTYPE  =  ""FOOD""","SELECT T1.FNAME ,  T1.LNAME FROM STUDENT AS T1 JOIN ENROLL AS T2 ON T1.STU_NUM  =  T2.STU_NUM WHERE T2.ENROLL_GRADE  =  'C' OR T2.ENROLL_GRADE  =  'A'",,0,0.42857143,0,Good
GIVE THE SECTION TITLES OF THE DOCUMENT WITH THE NAME DAVID CV,"SELECT T2.SECTION_TITLE FROM DOCUMENTS AS T1 JOIN DOCUMENT_SECTIONS AS T2 ON T1.DOCUMENT_CODE  =  T2.DOCUMENT_CODE WHERE T1.DOCUMENT_NAME  =  ""DAVID CV""","SELECT T2.SECTION_TITLE FROM DOCUMENTS AS T1 JOIN DOCUMENT_SECTIONS AS T2 ON T1.DOCUMENT_CODE  =  T2.DOCUMENT_CODE WHERE T1.DOCUMENT_NAME  =  ""DAVID CV""","SELECT T2.SECTION_TITLE FROM DOCUMENTS AS T1 JOIN DOCUMENT_SECTIONS AS T2 ON T1.DOCUMENT_CODE  =  T2.DOCUMENT_CODE WHERE T1.DOCUMENT_NAME  =  ""DAVID CV""",2,1,1,Excellent
FIND THE THE NAME OF THE CUSTOMERS WHO HAVE A LOAN WITH AMOUNT MORE THAN 3000,SELECT T1.CUST_NAME FROM CUSTOMER AS T1 JOIN LOAN AS T2 ON T1.CUST_ID  =  T2.CUST_ID WHERE AMOUNT  >  3000,SELECT T1.CUST_NAME FROM CUSTOMER AS T1 JOIN LOAN AS T2 ON T1.CUST_ID  =  T2.CUST_ID WHERE AMOUNT  >  3000,SELECT T1.CUST_NAME FROM CUSTOMER AS T1 JOIN LOAN AS T2 ON T1.CUST_ID  =  T2.CUST_ID WHERE AMOUNT  >  3000,2,1,1,Excellent
FIND THE ORGANISATION TYPE DESCRIPTION OF THE ORGANISATION DETAILED AS 'QUO',SELECT T1.ORGANISATION_TYPE_DESCRIPTION FROM ORGANISATION_TYPES AS T1 JOIN ORGANISATIONS AS T2 ON T1.ORGANISATION_TYPE  =  T2.ORGANISATION_TYPE WHERE T2.ORGANISATION_DETAILS  =  'QUO',SELECT COUNT(*) FROM &undscNAME FROM RESERVATIONS AS T1 JOIN MATCH_SEASON AS T2 ON T1.STUID  =  T2.VICE_PRESIDENT_VOTE EXCEPT SELECT DISTINCT FNAME FROM RATING ' AND T2.DISTRICT  =  2010,,0,0.42808634,0,Good
FIND THE LAST NAMES OF THE STUDENTS IN THIRD GRADE THAT ARE NOT TAUGHT BY COVIN JEROME,"SELECT DISTINCT T1.LASTNAME FROM LIST AS T1 JOIN TEACHERS AS T2 ON T1.CLASSROOM  =  T2.CLASSROOM WHERE T1.GRADE  =  3 AND T2.FIRSTNAME != ""COVIN"" AND T2.LASTNAME != ""JEROME""",SELECT DISTINCT T1.TITLE FROM STUDENT AS T1 JOIN VOTING_RECORD AS T2 ON T1.STUID  =  T2.VICE_PRESIDENT_VOTE EXCEPT SELECT DISTINCT FNAME FROM ,,0,0.45,0,Good
WHAT ARE THE NAMES OF WINES MADE FROM RED GRAPES AND WITH PRICES ABOVE 50,"SELECT T2.NAME FROM GRAPES AS T1 JOIN WINE AS T2 ON T1.GRAPE  =  T2.GRAPE WHERE T1.COLOR  =  ""RED"" AND T2.PRICE  >  50","SELECT DISTINCT T2.NAME FROM GRAPES AS T1 JOIN WINE AS T2 ON T1.GRAPE  =  T2.GRAPE WHERE T1.COLOR  =  ""RED""",,2,0.88040878,0.8,Excellent
WHAT IS THE AVERAGE PRICE FOR WINES NOT PRODUCED IN SONOMA COUNTY,SELECT AVG(PRICE) FROM WINE WHERE APPELATION NOT IN (SELECT T1.APPELATION FROM APPELLATIONS AS T1 JOIN WINE AS T2 ON T1.APPELATION  =  T2.APPELATION WHERE T1.COUNTY  =  'SONOMA'),"SELECT AVG(T2.PRICE) FROM APPELLATIONS AS T1 JOIN WINE AS T2 ON T1.APPELATION  =  T2.APPELATION WHERE T1.COUNTY  =  ""SONOMA""",,2,0.77352678,0.75,Very Good
WHAT ARE THE DIFFERENT NAMES LOCATIONS AND PRODUCTS OF THE ENZYMES THAT ARE CAPABLE INHIBITOR INTERACTIONS,"SELECT DISTINCT T1.NAME ,  T1.LOCATION ,  T1.PRODUCT FROM ENZYME AS T1 JOIN MEDICINE_ENZYME_INTERACTION AS T2 ON T2.ENZYME_ID  =  T1.ID WHERE T2.INTERACTION_TYPE  =  'INHIBITOR'","SELECT DISTINCT T1.NAME FROM JOURNAL AS T1 JOIN CHECKING AS T2 ON T1.APPELATION  =  T2.APPELATION WHERE T1.AREA  =  ""NORTH COAST""",,0,0.53674504,0.16666667,Good
FIND THE LAST AND FIRST NAME OF STUDENTS WHO ARE PLAYING FOOTBALL OR LACROSSE,"SELECT T2.LNAME ,  T2.FNAME FROM SPORTSINFO AS T1 JOIN STUDENT AS T2 ON T1.STUID  =  T2.STUID WHERE T1.SPORTNAME  =  ""FOOTBALL"" OR T1.SPORTNAME  =  ""LACROSSE""","SELECT T2.LNAME ,  T2.FNAME FROM SPORTSINFO AS T1 JOIN STUDENT AS T2 ON T1.STUID  =  T2.STUID WHERE T1.SPORTNAME  =  ""FOOTBALL"" OR T1.SPORTNAME  =  ""LACROSSE""","SELECT T2.LNAME ,  T2.FNAME FROM SPORTSINFO AS T1 JOIN STUDENT AS T2 ON T1.STUID  =  T2.STUID WHERE T1.SPORTNAME  =  ""FOOTBALL"" OR T1.SPORTNAME  =  ""LACROSSE""",2,1,1,Excellent
HOW MANY PRODUCTS ARE NOT MADE BY SONY,SELECT COUNT(DISTINCT NAME) FROM PRODUCTS WHERE NAME NOT IN (SELECT T1.NAME FROM PRODUCTS AS T1 JOIN MANUFACTURERS AS T2 ON T1.MANUFACTURER  =  T2.CODE WHERE T2.NAME  =  'SONY'),SELECT DISTINCT T1.NAME FROM STATION AS T1 JOIN STATUS AS T2 ON T1.ID  =  T2.STATION_ID WHERE T2.BIKES_AVAILABLE  =  7,,0,0.54458115,0.25,Good
WHAT ARE THE TYPE CODES OF THE POLICIES USED BY THE CUSTOMER DAYANA ROBEL,"SELECT POLICY_TYPE_CODE FROM POLICIES AS T1 JOIN CUSTOMERS AS T2 ON T1.CUSTOMER_ID  =  T2.CUSTOMER_ID WHERE T2.CUSTOMER_DETAILS  =  ""DAYANA ROBEL""","SELECT T2.CUSTOMER_NAME FROM CUSTOMERS AS T1 JOIN CUSTOMERS_POLICIES AS T2 ON T1.CUSTOMER_ID  =  T2.CUSTOMER_ID WHERE T1.PARTICIPANT_DEDAYANA ROBEL""",,1,0.77898084,0.66666667,Very Good
FIND THE NAMES OF THE CANDIDATES WHOSE SUPPORT PERCENTAGE IS LOWER THAN THEIR OPPOSE RATE,SELECT T1.NAME FROM PEOPLE AS T1 JOIN CANDIDATE AS T2 ON T1.PEOPLE_ID  =  T2.PEOPLE_ID WHERE T2.SUPPORT_RATE  <  T2.OPPOSE_RATE,SELECT DISTINCT T1.CAMPUSFEE FROM CUSTOMER_MASTEEXCEPT JOIN CHECKING AS T2 ON T1.CUSTID  =  T2.CUSTID WHERE T1.NAME LIKE '%EE%',,0,0.5007734,0.2,Good
WHAT ARE ALL THE DETAILS OF THE ORGANISATIONS DESCRIBED AS 'SPONSOR' SORT THE RESULT IN AN ASCENDING ORDER,SELECT ORGANISATION_DETAILS FROM ORGANISATIONS AS T1 JOIN ORGANISATION_TYPES AS T2 ON T1.ORGANISATION_TYPE  =  T2.ORGANISATION_TYPE WHERE T2.ORGANISATION_TYPE_DESCRIPTION  =  'SPONSOR' ORDER BY ORGANISATION_DETAILS,SELECT SUM(T1.SALARY) FROM SALARY AS T1 JOIN TEAM AS T2 ON T1.TEAM_ID  =  T2.TEAM_ID_BR WHERE T2.NAME  = 'BOSTON RED STOCKINGS',,0,0.48911599,0,Good
FIND THE THE GRAPE WHOSE WHITE COLOR GRAPES ARE USED TO PRODUCE WINES WITH SCORES HIGHER THAN 90,"SELECT DISTINCT T1.GRAPE FROM GRAPES AS T1 JOIN WINE AS T2 ON T1.GRAPE  =  T2.GRAPE WHERE T1.COLOR  =  ""WHITE"" AND T2.SCORE  >  90","SELECT DISTINCT T2.CUSTOMER_DETAILS FROM POLICIES AS T1 JOIN CUSTOMERS AS T2 ON T1.CUSTOMER_ID  =  T2.CUSTOMER_ID WHERE T1.POLICY_TYPE_CODE  =  ""DEPUTY"" OR T1.POLICY_TYPE_CODE  =  ""UNIFORM""",,0,0.55829053,0,Good
COUNT THE NUMBER OF CHARACTERISTICS THE PRODUCT 'SESAME' HAS,"SELECT COUNT(*) FROM PRODUCTS AS T1 JOIN PRODUCT_CHARACTERISTICS AS T2 ON T1.PRODUCT_ID  =  T2.PRODUCT_ID WHERE T1.PRODUCT_NAME  =  ""SESAME""","SELECT COUNT(*) FROM ALBUMS AS T1 JOIN ARTISTS AS T2 ON T1.ARTIST_ID = T2.ARTIST_ID WHERE T1.FIRSTNAME  =  ""LORIA"" AND T2.LASTNAME  =  ""ONDERSMA""",,0,0.6681531,0,Very Good
HOW MUCH IN TOTAL DOES CUSTOMER WITH FIRST NAME AS CAROLE AND LAST NAME AS BERNHARD PAID,"SELECT SUM(T1.AMOUNT_PAYMENT) FROM CUSTOMER_PAYMENTS AS T1 JOIN CUSTOMERS AS T2 ON T1.CUSTOMER_ID = T2.CUSTOMER_ID WHERE T2.FIRST_NAME = ""CAROLE"" AND T2.LAST_NAME = ""BERNHARD""","SELECT T2.ZIP_POSTCODE FROM CUSTOMERS AS T1 JOIN ADDRESSES AS T2 ON T1.CUSTOMER_ADDRESS_ID = T2.ADDRESS_ID WHERE T1.FIRST_NAME = ""CAROLE"" AND T1.LAST_NAME = ""BERNHARD""",,1,0.6681531,0,Very Good
WHAT IS THE TOTAL AMOUNT OF MOENY PAID BY THE CUSTOMER CAROLE BERNHARD,"SELECT SUM(T1.AMOUNT_PAYMENT) FROM CUSTOMER_PAYMENTS AS T1 JOIN CUSTOMERS AS T2 ON T1.CUSTOMER_ID = T2.CUSTOMER_ID WHERE T2.FIRST_NAME = ""CAROLE"" AND T2.LAST_NAME = ""BERNHARD""",SELECT T2.COMPANY_NAME FROM CUSTOMERS AS T1 JOIN VOLUME AS T2 ON T1.ARTIST_ID  =  T2.ARTIST_ID WHERE T1.TOTAL  >  8.1,,1,0.49507377,0,Good
WHAT IS THE NUMBER OF ROUTES WHOSE DESTINATIONS ARE ITALIAN AIRPORTS,SELECT COUNT(*) FROM ROUTES AS T1 JOIN AIRPORTS AS T2 ON T1.DST_APID  =  T2.APID WHERE T2.COUNTRY  =  'ITALY',"SELECT SUM(T2.ROOM_COUNT) FROM APARTMENT_BUILDINGS AS T1 JOIN APARTMENTS AS T2 ON T1.BUILDING_ID  =  T2.BUILDING_ID WHERE T1.BUILDING_SHORT_NAME  =  ""COLUMBUS SQUARE""",,0,0.52440442,0,Good
WHICH STUDENTS IN THIRD GRADE ARE NOT TAUGHT BY TEACHER COVIN JEROME GIVE ME THE LAST NAMES OF THE STUDENTS,"SELECT DISTINCT T1.LASTNAME FROM LIST AS T1 JOIN TEACHERS AS T2 ON T1.CLASSROOM  =  T2.CLASSROOM WHERE T1.GRADE  =  3 AND T2.FIRSTNAME != ""COVIN"" AND T2.LASTNAME != ""JEROME""","SELECT DISTINCT T1.TITLE FROM STUDENT AS T1 JOIN INVOICE AS T2 ON T1.CUSTOMERID  =  T2.CUSTOMERID WHERE T1.COUNTRY  =  ""BRAZIL""",,0,0.55059776,0,Good
FOR EACH PRODUCT THAT HAS PROBLEMS FIND THE NUMBER OF PROBLEMS REPORTED AFTER 1986-11-13 AND THE PRODUCT ID,"SELECT COUNT(*) ,  T2.PRODUCT_ID FROM PROBLEMS AS T1 JOIN PRODUCT AS T2 ON T1.PRODUCT_ID = T2.PRODUCT_ID WHERE T1.DATE_PROBLEM_REPORTED > ""1986-11-13"" GROUP BY T2.PRODUCT_ID","SELECT T1.PROBLEM_DESCRIPTION FROM PROBLEMS AS T1 JOIN STAFF AS T2 ON T1.REPORTED_BY_STAFF_ID = T2.STAFF_ID WHERE T2.STAFF_FIRST_NAME = ""CHRISTOP""",,1,0.56568542,0,Good
HOW MANY SONGS HAVE A SHARED VOCAL,"SELECT COUNT(DISTINCT TITLE) FROM VOCALS AS T1 JOIN SONGS AS T2 ON T1.SONGID  =  T2.SONGID WHERE TYPE  =  ""SHARED""","SELECT COUNT(DISTINCT TITLE) FROM VOCALS AS T1 JOIN SONGS AS T2 ON T1.SONGID  =  T2.SONGID WHERE TYPE  =  ""LEAD""",,2,0.95454545,1,Excellent
FIND THE NUMBER OF ALBUMS BY THE ARTIST METALLICA,"SELECT COUNT(*) FROM ALBUM AS T1 JOIN ARTIST AS T2 ON T1.ARTISTID  =  T2.ARTISTID WHERE T2.NAME  =  ""METALLICA""","SELECT SUM(T1.BUDGETED) FROM RESERVATIONS AS T1 JOIN ROOMS AS T2 ON T1.ROOM  =  T2.ROOMID WHERE T2.NAME  =  ""DEPUTY"" AND T1.LAST_NAME = ""MANCINI"";",,0,0.61101009,0.33333333,Very Good
SHOW ALL CHURCH NAMES EXCEPT FOR THOSE THAT HAD A WEDDING IN YEAR 2015,SELECT NAME FROM CHURCH EXCEPT SELECT T1.NAME FROM CHURCH AS T1 JOIN WEDDING AS T2 ON T1.CHURCH_ID  =  T2.CHURCH_ID WHERE T2.YEAR  =  2015,SELECT NAME FROM STUDENT WHERE ID NOT IN (SELECT T1.ID FROM TAKES AS T1 JOIN COURSE AS T2 ON T1.COURSE_ID  =  T2.COURSE_ID WHERE T2.DEPT_NAME  =  'BIOLOGY'),,0,0.48112522,0,Good
WHO WERE THE GOVERNORS OF THE PARTIES ASSOCIATED WITH DELEGATES FROM DISTRICT 1,SELECT T2.GOVERNOR FROM ELECTION AS T1 JOIN PARTY AS T2 ON T1.PARTY  =  T2.PARTY_ID WHERE T1.DISTRICT  =  1,SELECT T2.GOVERNOR FROM ELECTION AS T1 JOIN PARTY AS T2 ON T1.PARTY  =  T2.PARTY_ID WHERE T1.DISTRICT  =  1,SELECT T2.GOVERNOR FROM ELECTION AS T1 JOIN PARTY AS T2 ON T1.PARTY  =  T2.PARTY_ID WHERE T1.DISTRICT  =  1,2,1,1,Excellent
SHOW ALL BRANCH NAMES WITH THE NUMBER OF MEMBERS IN EACH BRANCH REGISTERED AFTER 2015,"SELECT T2.NAME ,  COUNT(*) FROM MEMBERSHIP_REGISTER_BRANCH AS T1 JOIN BRANCH AS T2 ON T1.BRANCH_ID  =  T2.BRANCH_ID WHERE T1.REGISTER_YEAR  >  2015 GROUP BY T2.BRANCH_ID","SELECT T2.NAME ,  COUNT(*) FROM MEMBERSHIP_REGISTER_BRANCH AS T1 JOIN BRANCH AS T2 ON T1.BRANCH_ID  =  T2.BRANCH_ID WHERE T1.REGISTER_YEAR  >  2015 GROUP BY T2.BRANCH_ID","SELECT T2.NAME ,  COUNT(*) FROM MEMBERSHIP_REGISTER_BRANCH AS T1 JOIN BRANCH AS T2 ON T1.BRANCH_ID  =  T2.BRANCH_ID WHERE T1.REGISTER_YEAR  >  2015 GROUP BY T2.BRANCH_ID",2,1,1,Excellent
WHAT ARE THE FIRST NAME AND LAST NAME OF LINDA SMITH'S ADVISOR,"SELECT T1.FNAME ,  T1.LNAME FROM FACULTY AS T1 JOIN STUDENT AS T2 ON T1.FACID  =  T2.ADVISOR WHERE T2.FNAME  =  ""LINDA"" AND T2.LNAME  =  ""SMITH""","SELECT T1.FNAME ,  T1.LNAME FROM COURSE AS T1 JOIN ENROLL AS T2 ON T1.INSTRUCTOR  =  T2.FACID WHERE T2.CNAME  =  ""COMPUTER SCIENCE""",,0,0.63702206,0.33333333,Very Good
SHOW THE NAMES OF CUSTOMERS WHO USE CREDIT CARD PAYMENT METHOD AND HAVE MORE THAN 2 ORDERS,SELECT T1.CUSTOMER_NAME FROM CUSTOMERS AS T1 JOIN CUSTOMER_ORDERS AS T2 ON T1.CUSTOMER_ID  =  T2.CUSTOMER_ID WHERE T1.PAYMENT_METHOD_CODE  =  'CREDIT CARD' GROUP BY T1.CUSTOMER_ID HAVING COUNT(*)  >  2,SELECT T1.NAME FROM SWIMMER AS T1 JOIN RECORD AS T2 ON T1.ID  =  T2.SWIMMER_ID WHERE RESULT  =  'WIN',,0,0.46676003,0,Good
FIND THE CITIES CORRESPONDING TO EMPLOYEES WHO HELP CUSTOMERS WITH THE POSTAL CODE 70174,"SELECT T2.CITY FROM CUSTOMER AS T1 JOIN EMPLOYEE AS T2 ON T1.SUPPORTREPID  =  T2.EMPLOYEEID WHERE T1.POSTALCODE  =  ""70174""","SELECT DISTINCT T1.&undscNAME FROM CUSTOMER AS T1 JOIN INVOICE AS T2 ON T1.CUSTOMERID  =  T2.CUSTOMERID WHERE T1.COUNTRY  =  ""BRAZIL""",,1,0.6172134,0,Very Good
SHOW THE NAMES OF MEMBERS THAT HAVE A RANK IN ROUND HIGHER THAN 3,SELECT T1.NAME FROM MEMBER AS T1 JOIN ROUND AS T2 ON T1.MEMBER_ID  =  T2.MEMBER_ID WHERE T2.RANK_IN_ROUND  >  3,SELECT DISTINCT T1.PLAYER_NAME FROM PLAYER AS T1 JOIN PLAYER_ATTRIBUTES AS T2 ON T1.PLAYER_API_ID = T2.PLAYER_API_ID WHERE T2.DRIBBLING  =  ( SELECT MAX(OVERALL_RATING) FROM PLAYER_ATTRIBUTES),,0,0.48809353,0,Good
FIND THE NAME OF PERSONS WHO ARE FRIENDS WITH BOB,SELECT T1.NAME FROM PERSON AS T1 JOIN PERSONFRIEND AS T2 ON T1.NAME  =  T2.NAME WHERE T2.FRIEND  =  'BOB',SELECT DISTINCT T1.NAME FROM PERSON AS T1 JOIN PERSONFRIEND AS T2 ON T1.NAME  =  T2.NAME WHERE T2.NAME  =  'BOB',,2,0.9375,1,Excellent
WHAT ARE THE TOTAL PURCHASES FOR MEMBERS RATED AT LEVEL 6,SELECT COUNT(*) FROM PURCHASE AS T1 JOIN MEMBER AS T2 ON T1.MEMBER_ID  =  T2.MEMBER_ID WHERE T2.LEVEL  =  6,SELECT COUNT(*) FROM PURCHASE AS T1 JOIN MEMBER AS T2 ON T1.MEMBER_ID  =  T2.MEMBER_ID WHERE T2.LEVEL  =  6,SELECT COUNT(*) FROM PURCHASE AS T1 JOIN MEMBER AS T2 ON T1.MEMBER_ID  =  T2.MEMBER_ID WHERE T2.LEVEL  =  6,2,1,1,Excellent
WHAT IS THE ID OF THE CANDIDATE WHOSE EMAIL IS STANLEYMONAHANEXAMPLEORG,"SELECT T2.CANDIDATE_ID FROM PEOPLE AS T1 JOIN CANDIDATES AS T2 ON T1.PERSON_ID = T2.CANDIDATE_ID WHERE T1.EMAIL_ADDRESS = ""STANLEY.MONAHAN@EXAMPLE.ORG""","SELECT T2.CANDIDATE_ID FROM PEOPLE AS T1 JOIN CANDIDATES AS T2 ON T1.PERSON_ID = T2.CANDIDATE_ID WHERE T1.EMAIL_ADDRESS = ""STANLEY.MONAHAN@EXAMPLE.ORG""","SELECT T2.CANDIDATE_ID FROM PEOPLE AS T1 JOIN CANDIDATES AS T2 ON T1.PERSON_ID = T2.CANDIDATE_ID WHERE T1.EMAIL_ADDRESS = ""STANLEY.MONAHAN@EXAMPLE.ORG""",2,1,1,Excellent
WHERE DOES THE CUSTOMER WITH THE FIRST NAME LINDA LIVE AND WHAT IS HER EMAIL,"SELECT T2.ADDRESS ,  T1.EMAIL FROM CUSTOMER AS T1 JOIN ADDRESS AS T2 ON T2.ADDRESS_ID  =  T1.ADDRESS_ID WHERE T1.FIRST_NAME  =  'LINDA'","SELECT DISTINCT T1.CUSTOMER_DETAILS FROM CUSTOMERS AS T1 JOIN ORDERS AS T2 ON T1.CUSTOMER_ID = T2.CUSTOMER_ID WHERE T2.ORDER_STATUS = ""ON ROAD""",,0,0.47368421,0,Good
FIND THE AVERAGE AGE OF FEMALE (SEX IS F) STUDENTS WHO HAVE SECRETARY VOTES IN THE SPRING ELECTION CYCLE,"SELECT AVG(T1.AGE) FROM STUDENT AS T1 JOIN VOTING_RECORD AS T2 ON T1.STUID  =  SECRETARY_VOTE WHERE T1.SEX  =  ""F"" AND T2.ELECTION_CYCLE  =  ""SPRING""","SELECT AVG(T1.AGE) FROM STUDENT AS T1 JOIN VOTING_RECORD AS T2 ON T1.STUID  =  SECRETARY_VOTE WHERE T1.SEX  =  ""F"" AND T2.ELECTION_CYCLE  =  ""SPRING""","SELECT AVG(T1.AGE) FROM STUDENT AS T1 JOIN VOTING_RECORD AS T2 ON T1.STUID  =  SECRETARY_VOTE WHERE T1.SEX  =  ""F"" AND T2.ELECTION_CYCLE  =  ""SPRING""",2,1,1,Excellent
WHAT ARE THE NAMES OF SHIPS THAT WERE INVOLVED IN A MISSION LAUNCHED AFTER 1928,SELECT T2.NAME FROM MISSION AS T1 JOIN SHIP AS T2 ON T1.SHIP_ID  =  T2.SHIP_ID WHERE T1.LAUNCHED_YEAR  >  1928,SELECT T2.NAME FROM MISSION AS T1 JOIN SHIP AS T2 ON T1.SHIP_ID  =  T2.SHIP_ID WHERE T1.LAUNCHED_YEAR  >  1928,SELECT T2.NAME FROM MISSION AS T1 JOIN SHIP AS T2 ON T1.SHIP_ID  =  T2.SHIP_ID WHERE T1.LAUNCHED_YEAR  >  1928,2,1,1,Excellent
WHICH PROBLEMS ARE REPORTED BY THE STAFF WITH LAST NAME BOSCO SHOW THE IDS OF THE PROBLEMS,"SELECT T1.PROBLEM_ID FROM PROBLEMS AS T1 JOIN STAFF AS T2 ON T1.REPORTED_BY_STAFF_ID = T2.STAFF_ID WHERE T2.STAFF_LAST_NAME = ""BOSCO""","SELECT T1.PROBLEM_DESCRIPTION FROM PROBLEMS AS T1 JOIN STAFF AS T2 ON T1.REPORTED_BY_STAFF_ID = T2.STAFF_ID WHERE T2.STAFF_FIRST_NAME = ""CHRISTOP""",,2,0.83333333,0.5,Excellent
SHOW WRITERS WHO HAVE PUBLISHED A BOOK WITH PRICE MORE THAN 4000000,SELECT T1.WRITER FROM BOOK AS T1 JOIN PUBLICATION AS T2 ON T1.BOOK_ID  =  T2.BOOK_ID WHERE T2.PRICE  >  4000000,"SELECT T1.ATTRIBUTE_NAME ,  T1.ATTRIBUTE_ID FROM ATTRIBUTE_DEFINITIONS AS T1 JOIN CATALOG_CONTENTS_ADDITIONAL_ATTRIBUTES AS T2 ON T1.ATTRIBUTE_ID  =  T2.ATTRIBUTE_ID WHERE T2.ATTRIBUTE_VALUE  =  0",,0,0.52941176,0,Good
WHAT IS THE AVERAGE DURATION OF SONGS THAT HAVE MP3 FORMAT AND RESOLUTION BELOW 800,"SELECT AVG(T1.DURATION) FROM FILES AS T1 JOIN SONG AS T2 ON T1.F_ID  =  T2.F_ID WHERE T1.FORMATS  =  ""MP3"" AND T2.RESOLUTION   <  800","SELECT T2.SONG_NAME FROM FILES AS T1 JOIN SONG AS T2 ON T1.F_ID  =  T2.F_ID WHERE T1.FORMATS  =  ""MP3"" INTERSECT SELECT SONG_NAME FROM SONG WHERE RESOLUTION  <  1000",,2,0.75065189,0.6,Very Good
WHAT IS THE STATE AND ENROLLMENT OF THE COLLEGES WHERE HAVE ANY STUDENTS WHO GOT ACCEPTED IN THE TRYOUT DECISION,"SELECT DISTINCT T1.STATE ,  T1.ENR FROM COLLEGE AS T1 JOIN TRYOUT AS T2 ON T1.CNAME  =  T2.CNAME WHERE T2.DECISION  =  'YES'",SELECT DISTINCT T1.STATE FROM PLAYER AS T1 JOIN TRYOUT AS T2 ON T1.PID  =  T2.PEOPLE_ID WHERE T1.DECISION  =  'YES',,1,0.73786479,0.2,Very Good
