Questions,Query,Predicted,CorrectlyPredicted,TablesPredicted Correctly,Similarity,Columns predicted Correctly
WHAT ARE THE STAFF IDS AND GENDERS OF ALL STAFFS WHOSE JOB TITLE IS DEPARTMENT MANAGER,"SELECT T1.STAFF_ID ,  T1.STAFF_GENDER FROM STAFF AS T1 JOIN STAFF_DEPARTMENT_ASSIGNMENTS AS T2 ON T1.STAFF_ID  =  T2.STAFF_ID WHERE T2.JOB_TITLE_CODE  =  ""DEPARTMENT MANAGER""","SELECT T1.NAME FROM STAFF AS T1 JOIN TRACKS AS T2 ON T1.ID = T2.GENRE_ID WHERE T2.NAME = ""BALLS TO THE WALL"";",,1,0.57207755,0
WHAT TYPES OF VOCALS ARE USED IN THE SONG BADLANDS,"SELECT TYPE FROM VOCALS AS T1 JOIN SONGS AS T2 ON T1.SONGID  =  T2.SONGID WHERE TITLE  =  ""BADLANDS""","SELECT TYPE FROM VOCALS AS T1 JOIN SONGS AS T2 ON T1.SONGID  =  T2.SONGID WHERE TITLE  =  ""BADLANDS""","SELECT TYPE FROM VOCALS AS T1 JOIN SONGS AS T2 ON T1.SONGID  =  T2.SONGID WHERE TITLE  =  ""BADLANDS""",2,1,1
WHICH COURSE AUTHOR TEACHES THE ADVANCED DATABASE COURSE GIVE ME HIS OR HER LOGIN NAME,"SELECT T1.LOGIN_NAME FROM COURSE_AUTHORS_AND_TUTORS AS T1 JOIN COURSES AS T2 ON T1.AUTHOR_ID  =  T2.AUTHOR_ID WHERE T2.COURSE_NAME  =  ""ADVANCED DATABASE""","SELECT SUM(T2.ROOM_COUNT) FROM APARTMENT_BUILDINGS AS T1 JOIN APARTMENTS AS T2 ON T1.BUILDING_ID  =  T2.BUILDING_ID WHERE T1.BUILDING_SHORT_NAME  =  ""COLUMBUS SQUARE""",,0,0.53802759,0
SHOW THE BUILDER OF RAILWAYS ASSOCIATED WITH THE TRAINS NAMED ANDAMAN EXP,"SELECT T1.BUILDER FROM RAILWAY AS T1 JOIN TRAIN AS T2 ON T1.RAILWAY_ID  =  T2.RAILWAY_ID WHERE T2.NAME  =  ""ANDAMAN EXP""",SELECT COUNT(*) FROM RESERVATIONS AS T1 JOIN ROOMS AS T2 ON T1.ROOM  =  T2.ROOMID WHERE T2.MAXOCCUPANCY  =  T1.ADULTS + T1.KIDS;,,0,0.44020439,0
HOW MANY TEACHERS DOES THE STUDENT NAMED MADLOCK RAY HAVE,"SELECT COUNT(*) FROM LIST AS T1 JOIN TEACHERS AS T2 ON T1.CLASSROOM  =  T2.CLASSROOM WHERE T1.FIRSTNAME  =  ""MADLOCK"" AND T1.LASTNAME  =  ""RAY""","SELECT COUNT(*) FROM LIST AS T1 JOIN TEACHERS AS T2 ON T1.CLASSROOM  =  T2.CLASSROOM WHERE T1.FIRSTNAME  =  ""MADLOCK"" AND T1.LASTNAME  =  ""RAY""","SELECT COUNT(*) FROM LIST AS T1 JOIN TEACHERS AS T2 ON T1.CLASSROOM  =  T2.CLASSROOM WHERE T1.FIRSTNAME  =  ""MADLOCK"" AND T1.LASTNAME  =  ""RAY""",2,1,1
HOW LONG DOES STUDENT LINDA SMITH SPEND ON THE RESTAURANT IN TOTAL,"SELECT SUM(SPENT) FROM STUDENT JOIN VISITS_RESTAURANT ON STUDENT.STUID = VISITS_RESTAURANT.STUID WHERE STUDENT.FNAME = ""LINDA"" AND STUDENT.LNAME = ""SMITH"";",SELECT T1.TITLE FROM ALBUMS AS T1 JOIN ARTISTS AS T2 ON T1.ARTIST_ID  =  T2.ARTIST_ID WHERE T2.ARTIST_NAME WHERE T2.TICKET_PRICE  <  (SELECT AVG(TICKET_PRICE) FROM EXHIBITION),,0,0.36363636,0
WHAT IS THE AVERAGE TOTAL SCORE OF BODY BUILDERS WITH HEIGHT BIGGER THAN 200,SELECT AVG(T1.TOTAL) FROM BODY_BUILDER AS T1 JOIN PEOPLE AS T2 ON T1.PEOPLE_ID  =  T2.PEOPLE_ID WHERE T2.HEIGHT  >  200,SELECT SUM(T2.KILLED) FROM PEOPLE AS T1 JOIN PERPETRATOR AS T2 ON T1.PEOPLE_ID  =  T2.PEOPLE_ID WHERE T1.HEIGHT  >  1.84,,1,0.75,0.5
HOW MANY PROFESSORS WHO ARE FROM EITHER ACCOUNTING OR BIOLOGY DEPARTMENT,SELECT COUNT(*) FROM PROFESSOR AS T1 JOIN DEPARTMENT AS T2 ON T1.DEPT_CODE  =  T2.DEPT_CODE WHERE T2.DEPT_NAME  =  'ACCOUNTING' OR T2.DEPT_NAME  =  'BIOLOGY',SELECT COUNT(*) FROM EMPLOYEES AS T1 JOIN TEAM AS T2 ON T1.TEAM_ID  =  T2.TEAM_ID_BR WHERE T2.NAME  = 'BOSTON RED STOCKINGS' AND T1.YEAR  =  2000,,0,0.59696201,0
WHAT ARE THE DIFFERENT PILOT NAMES WHO HAD PILOTED A FLIGHT IN THE COUNTRY 'UNITED STATES' OR IN THE AIRPORT NAMED 'BILLUND AIRPORT',SELECT DISTINCT T2.PILOT FROM AIRPORT AS T1 JOIN FLIGHT AS T2 ON T1.ID  =  T2.AIRPORT_ID WHERE T1.COUNTRY  =  'UNITED STATES' OR T1.NAME  =  'BILLUND AIRPORT',SELECT COUNT(*) FROM SALARY AS T1 JOIN TEAM AS T2 ON T1.TEAM_ID  =  T2.TEAM_ID_BR WHERE T2.NAME  = 'BOSTON RED STOCKINGS' AND T1.YEAR  =  2000,,0,0.42640143,0
WHICH FILM IS RENTED AT A FEE OF 099 AND HAS LESS THAN 3 IN THE INVENTORY LIST THE FILM TITLE AND ID,"SELECT TITLE ,  FILM_ID FROM FILM WHERE RENTAL_RATE  =  0.99 INTERSECT SELECT T1.TITLE ,  T1.FILM_ID FROM FILM AS T1 JOIN INVENTORY AS T2 ON T1.FILM_ID  =  T2.FILM_ID GROUP BY T1.FILM_ID HAVING COUNT(*)  <  3","SELECT T1.THEME ,  T1.NAME FROM EXHIBITION AS T1 JOIN ARTIST AS T2 ON T1.ARTIST_ID  =  T2.ARTIST_ID WHERE T1.TICKET_PRICE  >  (SELECT AVG(TICKET_PRICE) FROM EXHIBITION)",,0,0.47508455,0
FIND THE NUMBER OF STUDENTS WHOSE CITY CODE IS NYC AND WHO HAVE CLASS SENATOR VOTES IN THE SPRING ELECTION CYCLE,"SELECT COUNT(*) FROM STUDENT AS T1 JOIN VOTING_RECORD AS T2 ON T1.STUID  =  CLASS_SENATOR_VOTE WHERE T1.CITY_CODE  =  ""NYC"" AND T2.ELECTION_CYCLE  =  ""SPRING""","SELECT AVG(T1.AGE) FROM STUDENT AS T1 JOIN VOTING_RECORD AS T2 ON T1.STUID  =  SECRETARY_VOTE WHERE T1.CITY_CODE  =  ""NYC"" AND T2.ELECTION_CYCLE  =  ""SPRING""",,2,0.875,1
SHOW THE CRIME RATE OF COUNTIES WITH A CITY HAVING WHITE PERCENTAGE MORE THAN 90,SELECT T2.CRIME_RATE FROM CITY AS T1 JOIN COUNTY_PUBLIC_SAFETY AS T2 ON T1.COUNTY_ID  =  T2.COUNTY_ID WHERE T1.WHITE  >  90,"SELECT DISTINCT T1.FORENAME ,  T1.SURNAME FROM DRIVERS AS T1 JOIN LAPTIMES AS T2 ON T1.DRIVERID = T2.DRIVERID WHERE T2.MILLISECONDS < 93000",,0,0.48809353,0
WHAT IS THE NAME OF THE SHIPPING AGENT OF THE DOCUMENT WITH ID 2,SELECT REF_SHIPPING_AGENTS.SHIPPING_AGENT_NAME FROM REF_SHIPPING_AGENTS JOIN DOCUMENTS ON DOCUMENTS.SHIPPING_AGENT_CODE = REF_SHIPPING_AGENTS.SHIPPING_AGENT_CODE WHERE DOCUMENTS.DOCUMENT_ID = 2;,"SELECT DISTINCT T1.CUSTOMER_NAME FROM CUSTOMERS AS T1 JOIN ORDERS AS T2 ON T1.CUSTOMER_ID  =  T2.CUSTOMER_ID WHERE T2.ORDER_STATUS = ""PACKING""",,0,0.3678836,0
WHAT ARE THE TITLES OF ALL MOVIES THAT HAVE BETWEEN 3 AND 5 STARS,SELECT T2.TITLE FROM RATING AS T1 JOIN MOVIE AS T2 ON T1.MID  =  T2.MID WHERE T1.STARS BETWEEN 3 AND 5,SELECT DISTINCT YEAR FROM MOVIE AS T1 JOIN RATING AS T2 ON T1.MID  =  T2.MID WHERE T2.STARS  >=  4 ORDER BY T1.YEAR,,2,0.65081403,0.5
WHAT IS THE AVERAGE NUMBER OF CITIES OF MARKETS WITH LOW FILM MARKET ESTIMATE BIGGER THAN 10000,SELECT AVG(T2.NUMBER_CITIES) FROM FILM_MARKET_ESTIMATION AS T1 JOIN MARKET AS T2 ON T1.MARKET_ID  =  T2.MARKET_ID WHERE T1.LOW_ESTIMATE  >  10000,"SELECT T1.CATALOG_NAME ,  T1.DATE_OF_PUBLICATION FROM CATALOGS AS T1 JOIN CATALOG_STRUCTURE AS T2 ON T1.CATALOG_ID  =  T2.CATALOG_ID WHERE CATALOG_LEVEL_NUMBER  >  5",,0,0.51298918,0
SHOW TOTAL HOURS PER WEEK AND NUMBER OF GAMES PLAYED FOR STUDENTS UNDER 20,"SELECT SUM(HOURSPERWEEK) ,  SUM(GAMESPLAYED) FROM SPORTSINFO AS T1 JOIN STUDENT AS T2 ON T1.STUID  =  T2.STUID WHERE T2.AGE  <  20","SELECT SUM(HOURSPERWEEK) ,  SUM(GAMESPLAYED) FROM SPORTSINFO AS T1 JOIN STUDENT AS T2 ON T1.STUID  =  T2.STUID WHERE T2.AGE  <  20","SELECT SUM(HOURSPERWEEK) ,  SUM(GAMESPLAYED) FROM SPORTSINFO AS T1 JOIN STUDENT AS T2 ON T1.STUID  =  T2.STUID WHERE T2.AGE  <  20",2,1,1
HOW MANY COURSES DOES THE STUDENT WITH ID 171 ACTUALLY ATTEND,SELECT COUNT(*) FROM COURSES AS T1 JOIN STUDENT_COURSE_ATTENDANCE AS T2 ON T1.COURSE_ID = T2.COURSE_ID WHERE T2.STUDENT_ID = 171,SELECT COUNT(*) FROM PURCHASE AS T1 JOIN MEMBER AS T2 ON T1.MEMBER_ID  =  T2.MEMBER_ID WHERE T2.LEVEL  =  6,,0,0.68421053,0
GIVE THE IDS OF DOCUMENTS THAT HAVE EXPENSES AND CONTAIN THE LETTER S IN THEIR NAMES,SELECT T1.DOCUMENT_ID FROM DOCUMENTS AS T1 JOIN DOCUMENTS_WITH_EXPENSES AS T2 ON T1.DOCUMENT_ID  =  T2.DOCUMENT_ID WHERE T1.DOCUMENT_NAME LIKE '%S%',"SELECT T1.NAME FROM APARTMENT_BUILDINGS AS T1 JOIN APARTMENTS AS T2 ON T1.APPELATION  =  T2.APPELATION WHERE T2.AREA  =  ""NORTH COAST""",,0,0.48666426,0
WHAT IS THE MAXIMUM STARS AND YEAR FOR THE MOST RECENT MOVIE,"SELECT MAX(T1.STARS) ,  T2.YEAR FROM RATING AS T1 JOIN MOVIE AS T2 ON T1.MID  =  T2.MID WHERE T2.YEAR  =  (SELECT MAX(YEAR) FROM MOVIE)","SELECT T1.STU_FNAME ,  T1.STU_LNAME FROM STUDENT AS T1 JOIN ENROLL AS T2 ON T1.STU_NUM  =  T2.STU_NUM WHERE T2.ENROLL_GRADE  =  'C' OR T2.ENROLL_GRADE  =  'A'",,0,0.48795004,0
SHOW EACH SCHOOL NAME ITS BUDGETED AMOUNT AND INVESTED AMOUNT IN YEAR 2002 OR AFTER,"SELECT T2.SCHOOL_NAME ,  T1.BUDGETED ,  T1.INVESTED FROM BUDGET AS T1 JOIN SCHOOL AS T2 ON T1.SCHOOL_ID  =  T2.SCHOOL_ID WHERE T1.YEAR  >=  2002","SELECT DISTINCT T1.LEADER_NAME FROM COLLEGE AS T1 JOIN MEMBER AS T2 ON T1.COLLEGE_ID  =  T2.COLLEGE_ID WHERE T2.COUNTRY  =  ""CANADA""",,0,0.46169026,0
SHOW FIRST NAME AND LAST NAME FOR ALL THE STUDENTS ADVISED BY MICHAEL GOODRICH,"SELECT T2.FNAME ,  T2.LNAME FROM FACULTY AS T1 JOIN STUDENT AS T2 ON T1.FACID  =  T2.ADVISOR WHERE T1.FNAME  =  ""MICHAEL"" AND T1.LNAME  =  ""GOODRICH""","SELECT COUNT(*) FROM PERFORMANCE AS T1 JOIN BAND AS T2 ON T1.BANDMATE  =  T2.ID WHERE T2.FIRSTNAME  =  ""SOLVEIG""",,0,0.50051733,0
LIST THE EMAIL ADDRESSES OF THE DRAMA WORKSHOP GROUPS LOCATED IN ALASKA STATE,"SELECT T2.STORE_EMAIL_ADDRESS FROM ADDRESSES AS T1 JOIN DRAMA_WORKSHOP_GROUPS AS T2 ON T1.ADDRESS_ID  =  T2.ADDRESS_ID WHERE T1.STATE_COUNTY  =  ""ALASKA""","SELECT T2.STORE_EMAIL_ADDRESS FROM ADDRESSES AS T1 JOIN DRAMA_WORKSHOP_GROUPS AS T2 ON T1.ADDRESS_ID  =  T2.ADDRESS_ID WHERE T1.STATE_COUNTY  =  ""ALASKA""","SELECT T2.STORE_EMAIL_ADDRESS FROM ADDRESSES AS T1 JOIN DRAMA_WORKSHOP_GROUPS AS T2 ON T1.ADDRESS_ID  =  T2.ADDRESS_ID WHERE T1.STATE_COUNTY  =  ""ALASKA""",2,1,1
HOW MANY ORDERS DOES LUCAS MANCINI HAS,"SELECT COUNT(*) FROM CUSTOMERS AS T1 JOIN INVOICES AS T2 ON T1.ID = T2.CUSTOMER_ID WHERE T1.FIRST_NAME = ""LUCAS"" AND T1.LAST_NAME = ""MANCINI"";","SELECT COUNT(*) FROM CUSTOMERS AS T1 JOIN INVOICES AS T2 ON T1.ID = T2.CUSTOMER_ID WHERE T1.FIRST_NAME = ""LUCAS"" AND T1.LAST_NAME = ""MANCINI"";","SELECT COUNT(*) FROM CUSTOMERS AS T1 JOIN INVOICES AS T2 ON T1.ID = T2.CUSTOMER_ID WHERE T1.FIRST_NAME = ""LUCAS"" AND T1.LAST_NAME = ""MANCINI"";",2,1,1
HOW MANY LESSONS DID THE CUSTOMER WITH THE FIRST NAME RAY TAKE,"SELECT COUNT(*) FROM LESSONS AS T1 JOIN CUSTOMERS AS T2 ON T1.CUSTOMER_ID  = T2.CUSTOMER_ID WHERE T2.FIRST_NAME = ""RAY""","SELECT COUNT(*) FROM LESSONS AS T1 JOIN CUSTOMERS AS T2 ON T1.CUSTOMER_ID  = T2.CUSTOMER_ID WHERE T2.FIRST_NAME = ""RAY""","SELECT COUNT(*) FROM LESSONS AS T1 JOIN CUSTOMERS AS T2 ON T1.CUSTOMER_ID  = T2.CUSTOMER_ID WHERE T2.FIRST_NAME = ""RAY""",2,1,1
WHAT ARE THE NAMES OF PROJECTS THAT REQUIRE MORE THAN 300 HOURS AND HOW MANY SCIENTISTS ARE ASSIGNED TO EACH,"SELECT COUNT(*) ,  T1.NAME FROM PROJECTS AS T1 JOIN ASSIGNEDTO AS T2 ON T1.CODE  =  T2.PROJECT WHERE T1.HOURS  >  300 GROUP BY T1.NAME",SELECT DISTINCT T1.SERVICE_TYPE_CODE FROM SERVICES AS T1 JOIN ORGANIZATIONS AS T2 ON T1.ORGANIZATION_ID  =  T2.ORGANIZATION_ID WHERE T2.ORGANIZATION_DETAILS  =  'DENESIK AND SONS PARTY',,0,0.40089186,0
WHAT CAMPUS STARTED IN YEAR 1956 HAS MORE THAN 200 FULL TIME STUDENTS AND MORE THAN 400 STUDENTS ENROLLED,SELECT T1.CAMPUS FROM CAMPUSES AS T1 JOIN ENROLLMENTS AS T2 ON T1.ID  =  T2.CAMPUS WHERE T2.YEAR  =  1956 AND TOTALENROLLMENT_AY  >  400 AND FTE_AY  >  200,SELECT DISTINCT T1.CAMPUSFEE FROM ALBUMS AS T1 JOIN ENROLLMENTS AS T2 ON T1.ID  =  T2.STATION_ID WHERE T2.BIKES_AVAILABLE  =  1956 AND RESULT  =  'WIN' AND 200,,1,0.63636364,0.25
FIND THE LOCATION AND ALL GAMES SCORE OF THE SCHOOL THAT HAS CLEMSON AS ITS TEAM NAME,"SELECT T2.ALL_GAMES ,  T1.LOCATION FROM UNIVERSITY AS T1 JOIN BASKETBALL_MATCH AS T2 ON T1.SCHOOL_ID  =  T2.SCHOOL_ID WHERE TEAM_NAME  =  'CLEMSON'",SELECT DISTINCT T1.PLAYER_NAME FROM PLAYER AS T1 JOIN PLAYER_ATTRIBUTES AS T2 ON T1.PLAYER_API_ID = T2.PLAYER_API_ID WHERE T2.OVERALL_RATING  >  ( SELECT AVG(OVERALL_RATING) FROM PLAYER_ATTRIBUTES ),,0,0.45056356,0
WHAT COUNTRIES ARE THE FEMALE ARTISTS WHO SUNG IN THE LANGUAGE BANGLA FROM,"SELECT T1.COUNTRY FROM ARTIST AS T1 JOIN SONG AS T2 ON T1.ARTIST_NAME  =  T2.ARTIST_NAME WHERE T1.GENDER  =  ""FEMALE"" AND T2.LANGUAGES  =  ""BANGLA""","SELECT T1.NAME FROM ARTIST AS T1 JOIN SONG AS T2 ON T1.ARTIST_NAME  =  T2.ARTIST_NAME WHERE T1.GENDER  =  ""FEMALE"" AND T2.LANGUAGES  =  ""BANGLA""",,2,0.95238095,0.8
SHOW THE DOCUMENT NAME AND THE DOCUMENT DATE FOR ALL DOCUMENTS ON PROJECT WITH DETAILS 'GRAPH DATABASE PROJECT',"SELECT DOCUMENT_NAME ,  DOCUMENT_DATE FROM DOCUMENTS AS T1 JOIN PROJECTS AS T2 ON T1.PROJECT_ID  =  T2.PROJECT_ID WHERE T2.PROJECT_DETAILS  =  'GRAPH DATABASE PROJECT'","SELECT DOCUMENT_NAME ,  DOCUMENT_DATE FROM DOCUMENTS AS T1 JOIN PROJECTS AS T2 ON T1.PROJECT_ID  =  T2.PROJECT_ID WHERE T2.PROJECT_DETAILS  =  'GRAPH DATABASE PROJECT'","SELECT DOCUMENT_NAME ,  DOCUMENT_DATE FROM DOCUMENTS AS T1 JOIN PROJECTS AS T2 ON T1.PROJECT_ID  =  T2.PROJECT_ID WHERE T2.PROJECT_DETAILS  =  'GRAPH DATABASE PROJECT'",2,1,1
WHAT ARE ALL THE DIFFERENT FIRST NAMES OF THE DRIVERS WHO ARE IN POSITION AS STANDING AND WON,SELECT DISTINCT T1.FORENAME FROM DRIVERS AS T1 JOIN DRIVERSTANDINGS AS T2 ON T1.DRIVERID = T2.DRIVERID WHERE T2.POSITION = 1 AND T2.WINS = 1,SELECT DISTINCT T1.FORENAME FROM DRIVERS AS T1 JOIN DRIVERSTANDINGS AS T2 ON T1.DRIVERID = T2.DRIVERID WHERE T2.POSITION = 1 AND T2.WINS = 1,SELECT DISTINCT T1.FORENAME FROM DRIVERS AS T1 JOIN DRIVERSTANDINGS AS T2 ON T1.DRIVERID = T2.DRIVERID WHERE T2.POSITION = 1 AND T2.WINS = 1,2,1,1
HOW MANY ACTIVITIES DOES MARK GIULIANO PARTICIPATE IN,"SELECT COUNT(*) FROM FACULTY AS T1 JOIN FACULTY_PARTICIPATES_IN AS T2 ON T1.FACID  =  T2.FACID WHERE T1.FNAME  =  ""MARK"" AND T1.LNAME  =  ""GIULIANO""",SELECT COUNT(*) FROM RESERVATIONS AS T1 JOIN ROOMS AS T2 ON T1.ROOM  =  T2.ROOMID WHERE T2.MAXOCCUPANCY  =  T1.ADULTS + T1.KIDS;,,0,0.56575238,0
WHAT ARE THE SONGS IN VOLUMES ASSOCIATED WITH THE ARTIST AGED 32 OR OLDER,SELECT T2.SONG FROM ARTIST AS T1 JOIN VOLUME AS T2 ON T1.ARTIST_ID  =  T2.ARTIST_ID WHERE T1.AGE  >=  32,SELECT T2.ISSUE_DATE FROM ARTIST AS T1 JOIN VOLUME AS T2 ON T1.ARTIST_ID  =  T2.ARTIST_ID WHERE T1.AGE  >=  32,,2,0.94117647,0.75
HOW MANY CARDS DOES CUSTOMER ART TURCOTTE HAVE,"SELECT COUNT(*) FROM CUSTOMERS_CARDS AS T1 JOIN CUSTOMERS AS T2 ON T1.CUSTOMER_ID  =  T2.CUSTOMER_ID WHERE T2.CUSTOMER_FIRST_NAME  =  ""ART"" AND T2.CUSTOMER_LAST_NAME  =  ""TURCOTTE""","SELECT COUNT(*) FROM ACCOUNTS AS T1 JOIN CUSTOMERS AS T2 ON T1.CUSTOMER_ID  =  T2.CUSTOMER_ID WHERE T2.CUSTOMER_FIRST_NAME  =  ""ART"" AND T2.CUSTOMER_LAST_NAME  =  ""TURCOTTE""",,1,0.95833333,1
SHOW ALL ARTIST NAMES WHO DIDN'T HAVE AN EXHIBITION IN 2004,SELECT NAME FROM ARTIST EXCEPT SELECT T2.NAME FROM EXHIBITION AS T1 JOIN ARTIST AS T2 ON T1.ARTIST_ID  =  T2.ARTIST_ID WHERE T1.YEAR  =  2004,SELECT NAME FROM ARTIST EXCEPT SELECT T2.NAME FROM EXHIBITION AS T1 JOIN ARTIST AS T2 ON T1.ARTIST_ID  =  T2.ARTIST_ID WHERE T1.YEAR  =  2004,SELECT NAME FROM ARTIST EXCEPT SELECT T2.NAME FROM EXHIBITION AS T1 JOIN ARTIST AS T2 ON T1.ARTIST_ID  =  T2.ARTIST_ID WHERE T1.YEAR  =  2004,2,1,1
WHAT IS THE CAMPUS FEE OF SAN FRANCISCO STATE UNIVERSITY IN YEAR 1996,"SELECT CAMPUSFEE FROM CAMPUSES AS T1 JOIN CSU_FEES AS T2 ON T1.ID  =  T2.CAMPUS WHERE T1.CAMPUS  =  ""SAN FRANCISCO STATE UNIVERSITY"" AND T2.YEAR  =  1996","SELECT CAMPUSFEE FROM CAMPUSES AS T1 JOIN CSU_FEES AS T2 ON T1.ID  =  T2.CAMPUS WHERE T1.CAMPUS  =  ""SAN FRANCISCO STATE UNIVERSITY"" AND T2.YEAR  =  1996","SELECT CAMPUSFEE FROM CAMPUSES AS T1 JOIN CSU_FEES AS T2 ON T1.ID  =  T2.CAMPUS WHERE T1.CAMPUS  =  ""SAN FRANCISCO STATE UNIVERSITY"" AND T2.YEAR  =  1996",2,1,1
WHAT ARE THE NAMES OF ACTORS WHO HAVE BEEN IN THE MUSICAL TITLED THE PHANTOM OF THE OPERA,"SELECT T1.NAME FROM ACTOR AS T1 JOIN MUSICAL AS T2 ON T1.MUSICAL_ID  =  T2.MUSICAL_ID WHERE T2.NAME  =  ""THE PHANTOM OF THE OPERA""","SELECT T1.NAME FROM ACTOR AS T1 JOIN MUSICAL AS T2 ON T1.MUSICAL_ID  =  T2.MUSICAL_ID WHERE T2.NAME  =  ""THE PHANTOM OF THE OPERA""","SELECT T1.NAME FROM ACTOR AS T1 JOIN MUSICAL AS T2 ON T1.MUSICAL_ID  =  T2.MUSICAL_ID WHERE T2.NAME  =  ""THE PHANTOM OF THE OPERA""",2,1,1
WHAT ARE THE DIFFERENT NAMES OF FRIENDS WHO ARE YOUNGER THAN THE AVERAGE AGE FOR A FRIEND,SELECT DISTINCT T2.NAME FROM PERSON AS T1 JOIN PERSONFRIEND AS T2 ON T1.NAME  =  T2.FRIEND WHERE T1.AGE  <  (SELECT AVG(AGE) FROM PERSON),"SELECT T1.FNAME ,  T1.LNAME FROM COURSE AS T1 JOIN SONG AS T2 ON T1.ARTIST_NAME  =  T2.ARTIST_NAME WHERE T2.HEIGHT  >  4000",,0,0.45056356,0
LIST THE DURATION FILE SIZE AND FORMAT OF SONGS WHOSE GENRE IS POP ORDERED BY TITLE,"SELECT T1.DURATION ,  T1.FILE_SIZE ,  T1.FORMATS FROM FILES AS T1 JOIN SONG AS T2 ON T1.F_ID  =  T2.F_ID WHERE T2.GENRE_IS  =  ""POP"" ORDER BY T2.SONG_NAME",SELECT DISTINCT T1.PLAYER_NAME FROM PLAYER AS T1 JOIN PLAYER_ATTRIBUTES AS T2 ON T1.PLAYER_API_ID = T2.PLAYER_API_ID WHERE T2.OVERALL_RATING  >  ( SELECT AVG(OVERALL_RATING) FROM PLAYER_ATTRIBUTES ),,0,0.40089186,0
WHICH LANGUAGE DOES THE FILM AIRPORT POLLOCK USE LIST THE LANGUAGE NAME,SELECT T2.NAME FROM FILM AS T1 JOIN LANGUAGE AS T2 ON T1.LANGUAGE_ID  =  T2.LANGUAGE_ID WHERE T1.TITLE  =  'AIRPORT POLLOCK',"SELECT DISTINCT T1.NAME FROM RACES AS T1 JOIN CIRCUITS AS T2 ON T1.CIRCUITID = T2.CIRCUITID WHERE T2.COUNTRY = ""SPAIN"" AND T1.YEAR > 2000",,0,0.44232587,0
COUNT THE NUMBER OF EXHIBITIONS THAT HAVE HAD AN ATTENDNANCE OF OVER 100 OR A TICKET PRICES UNDER 10,SELECT COUNT(*) FROM EXHIBITION_RECORD AS T1 JOIN EXHIBITION AS T2 ON T1.EXHIBITION_ID  =  T2.EXHIBITION_ID WHERE T1.ATTENDANCE  >  100 OR T2.TICKET_PRICE  <  10,SELECT COUNT(*) FROM RESERVATIONS AS T1 JOIN ROOMS AS T2 ON T1.ROOM  =  T2.ROOMID WHERE T2.MAXOCCUPANCY  =  T1.ADULTS + T1.KIDS;,,0,0.56575238,0
GIVE ID OF THE INSTRUCTOR WHO ADVISES STUDENTS IN THE HISTORY DEPARTMENT,SELECT I_ID FROM ADVISOR AS T1 JOIN STUDENT AS T2 ON T1.S_ID  =  T2.ID WHERE T2.DEPT_NAME  =  'HISTORY',"SELECT SUM(T2.ORDER_QUANTITY) FROM CUSTOMER_ORDERS AS T1 JOIN ORDER_ITEMS AS T2 ON T1.ORDER_ID  =  T2.ORDER_ID WHERE T1.ORDER_STATUS  =  ""CANCELLED""",,0,0.47633051,0
FOR ALL DIRECTORS WHO DIRECTED MORE THAN ONE MOVIE RETURN THE TITLES OF ALL MOVIES DIRECTED BY THEM ALONG WITH THE DIRECTOR NAME SORT BY DIRECTOR NAME THEN MOVIE TITLE,"SELECT T1.TITLE ,  T1.DIRECTOR FROM MOVIE AS T1 JOIN MOVIE AS T2 ON T1.DIRECTOR  =  T2.DIRECTOR WHERE T1.TITLE != T2.TITLE ORDER BY T1.DIRECTOR ,  T1.TITLE",SELECT COUNT(*) FROM MOVIE AS T1 JOIN RATING AS T2 ON T1.MID  =  T2.MID WHERE T2.STARS  >=  4 ORDER BY T1.YEAR,,2,0.58976782,0
WHAT ARE THE FIRST NAMES AND DATE OF BIRTH OF PROFESSORS TEACHING COURSE ACCT-211,"SELECT DISTINCT T1.EMP_FNAME ,  T1.EMP_DOB FROM EMPLOYEE AS T1 JOIN CLASS AS T2 ON T1.EMP_NUM  =  T2.PROF_NUM WHERE CRS_CODE  =  ""ACCT-211""","SELECT DISTINCT T1.EMP_FNAME ,  T1.EMP_DOB FROM EMPLOYEE AS T1 JOIN CLASS AS T2 ON T1.EMP_NUM  =  T2.PROF_NUM WHERE CRS_CODE  =  ""ACCT-211""","SELECT DISTINCT T1.EMP_FNAME ,  T1.EMP_DOB FROM EMPLOYEE AS T1 JOIN CLASS AS T2 ON T1.EMP_NUM  =  T2.PROF_NUM WHERE CRS_CODE  =  ""ACCT-211""",2,1,1
WHAT ARE THE DURATION OF THE LONGEST AND SHORTEST POP TRACKS IN MILLISECONDS,"SELECT MAX(MILLISECONDS) ,  MIN(MILLISECONDS) FROM GENRE AS T1 JOIN TRACK AS T2 ON T1.GENREID  =  T2.GENREID WHERE T1.NAME  =  ""POP""","SELECT T1.NAME FROM GENRES AS T1 JOIN TRACKS AS T2 ON T1.ID = T2.GENRE_ID WHERE T1.NAME = ""ROCK"";",,0,0.58976782,0.66666667
